Infantry	Mech	Recon	Tank	MdTank	Artillery	Rockets	Missile	APC	AntiAir	Fighter	Bomber	Copter	AntiInfantry	RepairDrone	AerialAce	SuicideAA	ConstantGround	
Infantry	55	45	12	5	1	15	25	25	14	5	1	1	7	55	0	2	1	55
Mech	65	55	85	55	15	70	85	85	75	65	2	2	9	65	0	4	1	55
Recon	70	65	35	6	1	45	55	28	45	4	2	2	10	70	0	2	1	55
Tank	75	70	85	55	15	70	85	85	75	65	5	5	10	75	0	5	5	55
MdTank	105	95	105	85	55	105	105	105	105	105	8	8	12	105	15	11	8	55
Artillery	90	85	80	70	45	75	80	80	70	75	0	0	0	90	80	0	0	55
Rockets	95	90	90	80	55	80	85	90	80	85	0	0	0	95	35	0	0	55
Missile	0	0	0	0	0	0	0	0	0	0	95	95	115	0	70	105	85	55
APC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	55
AntiAir	105	105	60	25	10	50	55	55	50	45	65	75	105	105	75	70	70	55
Fighter	0	0	0	0	0	0	0	0	0	0	55	85	120	0	90	75	85	55
Bomber	110	110	105	105	95	105	105	105	105	95	0	0	0	110	0	0	0	55
Copter	75	75	55	55	25	65	65	65	60	25	5	5	85	75	0	35	70	55
AntiInfantry	95	85	55	6	3	10	13	13	9	1	1	1	9	95	4	1	1	55
RepairDrone	55	45	40	35	25	15	30	30	35	35	20	25	35	55	35	20	25	55
AerialAce	75	75	55	55	25	65	65	65	60	25	55	45	75	75	105	35	65	55
SuicideAA	0	0	0	0	0	0	0	0	0	0	1000	1000	1000	0	0	1000	1000	55
ConstantGround	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
