Infantry	MechScript	Recon	Tank	MdTank	Artillery	Rocket	Missile	APC	AntiAir	Fighter	Bomber	Copter	Android	Sniper	RepairBot	ScrapTank	SonicTank	MegaTank	Cannon	AAGun	Turret	CapCopter	AerialAce	AirBomb	
Infantry	55	45	12	5	1	15	25	25	14	5	1	1	7	70	65	15	9	2	1	20	8	10	8	2	1	
MechScript	65	55	85	55	15	70	85	85	75	65	2	2	9	80	75	80	65	25	15	75	70	35	10	4	1	
Recon	70	65	35	6	1	45	55	28	45	4	2	2	10	65	80	35	9	2	1	55	6	30	10	2	1	
Tank	75	70	85	55	15	70	85	85	75	65	5	5	10	85	90	70	65	55	15	75	75	40	14	5	5	
MdTank	105	95	105	85	55	105	105	105	105	105	8	8	12	105	115	105	105	65	55	105	105	85	18	11	8	
Artillery	90	85	80	70	45	75	80	80	70	75	0	0	0	100	85	85	75	50	45	80	80	65	0	0	0	
Rocket	95	90	90	80	55	80	85	90	80	85	0	0	0	105	105	95	90	75	55	85	85	70	0	0	0	
Missile	0	0	0	0	0	0	0	0	0	0	95	95	115	0	0	0	0	0	0	0	0	0	105	105	85	
APC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AntiAir	105	105	60	25	10	50	55	55	50	45	65	75	105	105	110	65	30	15	10	50	50	20	95	70	70	
Fighter	0	0	0	0	0	0	0	0	0	0	55	85	120	0	0	0	0	0	0	0	0	0	120	75	85	
Bomber	110	110	105	105	95	105	105	105	105	95	0	0	0	110	110	105	105	105	95	105	85	105	0	0	0	
Copter	75	75	55	55	25	65	65	65	60	25	5	5	85	85	85	105	65	35	25	65	35	55	85	35	1	
Android	45	35	8	2	1	13	19	19	9	2	1	1	5	55	60	10	7	1	1	17	5	6	4	1	1	
Sniper	95	85	55	6	3	10	13	13	9	1	1	1	9	105	105	8	4	2	1	12	6	5	25	1	1	
RepairBot	0	0	0	0	0	0	0	0	0	0	0	0	0	55	45	40	35	25	15	30	30	35	35	20	25	
ScrapTank	65	60	75	45	5	60	75	75	65	60	1	1	8	75	85	60	55	50	10	65	65	35	11	2	2	
SonicTank	75	70	85	55	15	70	85	85	75	65	5	5	10	85	90	70	65	55	15	75	75	40	14	5	5	
MegaTank	105	95	105	85	55	105	105	105	105	105	8	8	12	105	115	105	105	65	55	105	105	85	18	11	8	
Cannon	80	75	70	65	35	65	70	70	60	65	0	0	0	90	75	75	65	40	35	70	70	55	0	0	0	
AAGun	95	95	50	15	5	40	45	45	40	35	55	65	95	95	100	55	20	5	5	40	40	10	85	60	60	
AATurret	0	0	0	0	0	0	0	0	0	0	105	105	120	0	0	0	0	0	0	0	0	0	105	105	95	
CapCopter	55	45	12	5	1	15	25	25	14	5	1	1	7	70	65	15	9	2	1	20	8	10	8	2	1	
AerialAce	75	75	55	55	25	65	65	65	60	25	55	45	75	85	85	85	65	35	25	65	35	55	85	35	65	
AirBomb	0	0	0	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0	1000	1000	1000	
